id,role,type,description,size/ratio,style line ref,source
p_elisia_fixed,Elisia keeps her spot,mechanic,"update 36: one random forest spot from game start, kept through days and nights until an encounter finishes (ascent / her death / yours); then a new spot at once, out of view",-,-,procedural
p_duco_solid,Duco walks round things,mechanic,"update 36: he moves through world.collide (walls, furniture, fences, closed doors); every farm door opens for him and shuts behind him; his night route goes round the kitchen table; the pasture fence he JUMPS (0.75 s arc) when his target is across it; he never leaves the farm and drops the plushie at the border if you walk off with it",-,-,procedural
m_portal,the five stone portals (update 37),3d_model,"an ancient weathered grey stone ring with celtic knotwork, a blank medallion on top, three stone steps and two free-standing carved pillars with empty fire bowls; lifted with image_to_3d from a nano_banana_pro reference; the emblem, the ring glow, the swirl and the coloured bowl fires are drawn in code per portal (portals.js)",24k tris / 2K,STYLE FORMULA,generate
t_riversand,the river's forest bank (update 37),texture,"pale grey-beige wet river sand with pebbles, shells and silt lines; seamless via tools/pipeline.py, 1K basecolor + normal",1024x1024 webp,STYLE FORMULA,generate
a_elisia_sing,Elisia's voice in the mist (update 37),audio,"a wordless eerie female vocalise, 20 s loop (sonilo_music); volume IS the mist: silent at the mist's edge (90 m), full beside her",20 s m4a,-,generate
a_elisia_laugh,Elisia's laugh (update 37),audio,"a young woman's playful giggle turning into an eerie laugh, echoing (mirelo_text_to_audio); played now and then in the mist, louder the closer you are",4 s mp3,-,generate
m_duco37,Duco reposed (update 37),3d_model,"the update-30 photo-lifted Duco with ONLY the neck bent so he looks ahead: head rigid, body fixed, neck re-solved by Laplacian surface editing on the welded mesh (tools/glb_repose_neck.py); replaces the update-36 Meshy rebuild",28k tris / 2K PBR,STYLE FORMULA,generate
m_imperator,Tyrannosaurus imperator (update 38),3d_model,"a T-Rex variant: dark charcoal hide with a yellow-ochre belly and jaw, a crest of bristly hair along the head and neck, 10% larger; lifted with image_to_3d from a nano_banana_pro side-view reference; procedural PLANS.trex rig (type trex + creature.imperator)",21k tris / 1K,STYLE FORMULA,generate
m_trexdagger3d,the T-Rex dagger in hand (update 38),3d_model,"a curved ivory T-Rex tooth blade with a brass guard and leather grip, image_to_3d from the update-35 dagger reference; replaces the procedural cone-and-ring view model",8k tris / 1K,STYLE FORMULA,generate
m_impdagger3d,the Imperator dagger in hand (update 38),3d_model,"a black serrated Imperator tooth blade with an iron guard and black-and-ochre wrapped grip; sharper edges than the T-Rex dagger",8k tris / 1K,STYLE FORMULA,generate
ui_imptooth,Imperator tooth icon (update 38),ui_icon,"black serrated tooth on magenta keyed to alpha",128x128 png,STYLE FORMULA,generate
ui_impdagger,Imperator dagger icon (update 38),ui_icon,"the black tooth dagger on magenta keyed to alpha",128x128 png,STYLE FORMULA,generate
a_elisia_chase,Elisia's own chase music (update 38),audio,"demonic female choir over pounding drums and dissonant strings, 30 s loop (sonilo_music); plays while her dark form is out instead of the dinosaur chase track",30 s m4a,-,generate
a_elisia_laughloop,the dark form's laughter (update 38),audio,"continuous distorted evil female cackling, 16 s loop; replaces the singing in the mist once she has turned",16 s mp3,-,generate
a_elisia_laughbig,her laugh over a kill (update 38),audio,"one loud triumphant demonic laugh; played when she has eaten a T-Rex and you have five seconds to run",4 s mp3,-,generate
a_teleport,portal whoosh (update 38),audio,"rising shimmer into a deep whoosh and an echoing chime; with a white flash when a portal takes you",3 s mp3,-,generate
et_male,model,assets/models/et_male.glb,Eternial civilian man (3.10 m) — Higgsfield nano_banana_pro image -> image_to_3d (u39)
et_female,model,assets/models/et_female.glb,Eternial civilian woman (2.80 m) — Higgsfield image_to_3d (u39)
et_guardspear,model,assets/models/et_guardspear.glb,Eternial guard with golden spear — Higgsfield image_to_3d (u39)
et_guardsword,model,assets/models/et_guardsword.glb,Eternial guard with golden sword — Higgsfield image_to_3d (u39)
et_king,model,assets/models/et_king.glb,King Anhurath of Eternius — Higgsfield image_to_3d (u39)
et_statue,model,assets/models/et_statue.glb,"Ozrek the Spearbearer, the legend's golden statue — Higgsfield image_to_3d (u39)"
t_sandstone,texture,assets/tex/t_sandstone_*.webp,Eternius sandstone ashlar — nano_banana_pro tile + pipeline.py (u39)
t_goldpanel,texture,assets/tex/t_goldpanel_*.webp,Eternius engraved gold panel with green gems — nano_banana_pro tile + pipeline.py (u39)
t_cavern,texture,assets/tex/t_cavern_*.webp,Eternius cavern rock and mountain — nano_banana_pro tile + pipeline.py (u39)
t_flag,texture,assets/tex/t_flag_basecolor.webp,Eternius banner: golden jackal emblem on green — nano_banana_pro (u39)
a_eternius,audio,assets/audio/a_eternius.m4a,"Eternius City theme, 90 s loop — sonilo_music (u39)"
ui_fossil,icon,assets/ui_fossil.png,"Fossil item icon — nano_banana_pro on magenta, keyed offline (u39)"
ui_statuette,icon,assets/ui_statuette.png,"Golden statuette item icon — nano_banana_pro, keyed offline (u39)"
ui_coin,icon,assets/ui_coin.png,"Eternial coin icon — nano_banana_pro, keyed offline (u39, reserved)"
ui_etdagger,icon,assets/ui_etdagger.png,"Eternial dagger icon — from the weapon render, keyed offline (u39)"
ui_etsword,icon,assets/ui_etsword.png,"Eternial sword icon — from the weapon render, keyed offline (u39)"
ui_etspear,icon,assets/ui_etspear.png,"Eternial spear icon — from the weapon render, keyed offline (u39)"
ui_vaultkey,icon,assets/ui_vaultkey.png,Vault key icon — drawn in PIL (u39)
et_bed,model,assets/models/et_bed.glb,Eternial inn/home bed — gold frame + green blanket — Higgsfield image_to_3d (u40)
et_lamppost,model,assets/models/et_lamppost.glb,golden lamppost with a green gem lantern — Higgsfield image_to_3d (u40)
et_torchbearer,model,assets/models/et_torchbearer.glb,golden Eternial statue raising a fire bowl — Higgsfield image_to_3d (u40)
et_chainpost,model,assets/models/et_chainpost.glb,the chained beast's golden tethering post — Higgsfield image_to_3d (u40)
et_ceilinglamp,model,assets/models/et_ceilinglamp.glb,hanging golden lattice lamp — Higgsfield image_to_3d (u40)
et_throne,model,assets/models/et_throne.glb,King Anhurath's golden throne — Higgsfield image_to_3d (u40)
etdagger3d,model,assets/models/etdagger3d.glb,Eternial dagger (held/thrown model) — Higgsfield image_to_3d from the u39 render (u40)
etsword3d,model,assets/models/etsword3d.glb,Eternial sword (held model) — Higgsfield image_to_3d from the u39 render (u40)
etspear3d,model,assets/models/etspear3d.glb,Eternial spear (held/thrown model) — Higgsfield image_to_3d from the u39 render (u40)
t_trexgreen,texture,assets/tex/t_trexgreen_basecolor.webp,"the chained beast's green hide — hue-mapped from the T-Rex basecolor, mottled (u40)"
t_goldlattice,texture,assets/tex/t_goldlattice_basecolor.webp,"golden lattice screen with transparent openings (gate tympanum, lamps) — nano_banana (u40)"
t_greencarpet,texture,assets/tex/t_greencarpet_*.webp,"emerald carpet with gold lotus embroidery (throne hall, hallway, homes) — nano_banana + pipeline (u40)"
t_mountain,texture,assets/tex/t_mountain_*.webp,"red desert mountain rock — nano_banana + pipeline (u40)"
